word,hint,sentence,bonus
follow,to go after or behind someone,Please follow me to the classroom.,
below,in a lower place,The fish swam below the surface of the water.,
own,belonging to oneself,She has her own bedroom now.,
grown,increased in size; matured,The tomato plant has grown very tall this summer.,
town,a small city or community,We drove into town to buy groceries.,
ground,the surface of the earth,The apple fell straight to the ground.,
around,in a circle or on all sides,The children ran around the playground laughing.,
found,past tense of find,I found my missing sock under the bed.,
about,concerning; or approximately,This book is about a brave young explorer.,
house,a building where people live,We painted our house a bright shade of blue.,
group,a number of people or things together,Our group worked on the science project together.,
would,used to talk about a possible action,I would love to go to the zoo this weekend.,
should,used to give advice or say what is right,You should wear a helmet when riding your bike.,
country,a nation; or rural land,France is a beautiful country in Europe.,
cousin,the child of your aunt or uncle,My cousin is coming to stay with us this summer.,
