word,hint,sentence,bonus
threw,past tense of throw,He threw the ball across the yard to his dog.,
through,from one side to the other,We walked through the tunnel to reach the other side.,
thoughtless,not considering others' feelings,It was thoughtless of him to forget her birthday.,
caught,past tense of catch,She caught the frisbee before it hit the ground.,
fault,responsibility for a mistake,It was not my fault that the vase broke.,
taught,past tense of teach,My grandmother taught me how to bake bread.,
because,for the reason that,I stayed inside because it was raining hard.,
one,the number 1,I only need one more sticker to finish my sheet.,
once,one single time; or in the past,I have only been to the zoo once this year.,
water,a clear liquid needed for life,Please drink some water after your soccer game.,
watch,to look at something; or a clock worn on the wrist,I like to watch the sunset every evening.,
wanted,past tense of want,She wanted a new bicycle for her birthday.,
wonder,to think curiously about something,I wonder what is inside that wrapped gift.,
wonderful,extremely good; amazing,We had a wonderful time at the amusement park.,
walk,to move on foot,We walk to school together every morning.,
