word,hint,sentence,bonus
color,"a shade like red, blue, or green",What color do you want to paint your room?,
odor,"a smell, often unpleasant",A strange odor came from the old refrigerator.,
farmer,a person who grows crops or raises animals,The farmer woke up early to feed the animals.,
calendar,"a chart that shows days, weeks, and months",We marked the trip on our kitchen calendar.,
dollar,a unit of money in the United States,The toy cost only one dollar at the store.,
party,a fun gathering to celebrate something,We are having a party for her birthday.,
liar,a person who does not tell the truth,No one trusted the boy because he was a liar.,
after,following something in time,We ate ice cream after dinner.,
number,a mathematical amount or digit,What number comes after nine?,
better,of higher quality; more good,She felt better after a good night's sleep.,
doctor,a person trained to treat illness,The doctor checked my ears at my appointment.,
weather,the condition of the sky and air,The weather was sunny and warm all weekend.,
every,each one without exception,Every student needs a pencil for the test.,
forty,the number 40,My grandfather is forty years old.,
sugar,a sweet substance used in baking,She added a spoonful of sugar to her tea.,
