word,hint,sentence,bonus
save,to keep something safe or set aside,I will save my allowance to buy a new bike.,
give,to hand something to someone,Please give your sister a turn on the swing.,
have,to own or possess something,Do you have a pencil I can borrow?,
live,to be alive or to reside somewhere,My grandparents live in a small house by the lake.,
move,to change position or location,Please move your chair closer to the table.,
above,in a higher position; overhead,The birds flew above the tall trees.,
alive,living; not dead,The plant is still alive after the long winter.,
alike,similar or the same in some way,The twins look so alike that people mix them up.,
to,toward; in the direction of,We are walking to the park after lunch.,
two,the number 2 not "to" or "too",She has two brothers and one sister.,
too,also; more than enough,I want to come along too if that is okay.,
know,to understand or be aware of,Do you know the answer to this math problem?,
do,to perform an action,Can you do your homework before dinner tonight?,
blew,past tense of blow,The wind blew so hard it knocked over the trash can.,
blue,the color of the sky on a clear day,She painted the ocean a deep shade of blue.,
