word,hint,sentence,bonus
tried,past tense of try,She tried her best to finish the race first.,
weigh,to measure how heavy something is,Can you weigh this bag of apples for me?,
piece,a part of something not "peace",She ate one more piece of the delicious pie.,
receive,to get or accept something,I hope to receive a letter from my pen pal soon.,
their,belonging to them,The students put their backpacks by the classroom door.,
fierce,very intense or aggressive,The fierce storm knocked down several trees in the yard.,
neither,not one nor the other,Neither of the two answers was correct on the quiz.,
field,an open area of land,The cows grazed peacefully in the green field.,
receiving,currently getting something,She is receiving a special award for her hard work.,
trying,making an effort,He is trying to learn how to ride a bike.,
hurried,moved quickly,We hurried to catch the bus before it left.,
siege,a military blockade of a place,The castle survived a long siege many years ago.,
weighs,measures the heaviness of,This watermelon weighs almost ten pounds.,
writing,putting words on paper,She spent the afternoon writing in her journal.,
tired,feeling a need to rest,"After the long hike, everyone felt very tired.",
having,possessing or experiencing,We are having a picnic in the park today.,
planned,past tense of plan,They planned a surprise party for their friend's birthday.,
worries,things that cause concern,She never worries about small problems like a lost pencil.,
