word,hint,sentence,bonus
kindness,the quality of being kind,Her kindness made everyone feel welcome at the new school.,
darkness,the absence of light,The campers used a flashlight to see in the darkness.,
happiness,the state of being happy,Winning the game filled the whole team with happiness.,
loneliness,the feeling of being alone,He felt a sense of loneliness after his friend moved away.,
sadness,the feeling of being sad,Tears of sadness fell when the movie ended sadly.,
weakness,lack of strength,"Running is his weakness, but he is a strong swimmer.",
exactly,precisely; in an exact manner,Please tell me exactly what happened during the game.,
honestly,in a truthful manner,She honestly answered every question the teacher asked her.,
speedily,quickly; with speed,The nurse speedily bandaged the injured player's arm.,
angrily,in an angry manner,He angrily slammed the door after losing the match.,
happily,in a happy manner,The children played happily in the sprinkler all afternoon.,
friendly,kind and pleasant,Our new neighbor is very friendly and always waves hello.,
especially,particularly; above all,"I love fruit, especially strawberries, during the summer months.",
teacher,a person who teaches,Our teacher explained the math problem very clearly today.,
actor,a person who performs in plays or movies,The actor practiced his lines before the big show.,
liar,a person who tells lies,Nobody trusted the liar after he broke his promise.,
biologist,a scientist who studies living things,The biologist studied frogs in the rainforest for months.,
assistant,a person who helps someone,The teacher's assistant helped grade the spelling tests.,
