word,hint,sentence,bonus
shoes,coverings worn on your feet,She tied her new shoes tightly before running the race on Saturday.,
sure,certain; free from doubt,Are you sure you packed your lunch before leaving for school today?,
sugar,a sweet substance used to flavor food,Grandma added a spoonful of sugar to the pitcher of lemonade.,
musician,a person who plays or writes music,The talented musician practiced the violin for two hours every evening.,
patience,the ability to wait calmly without complaining,It takes a lot of patience to teach a puppy new tricks.,
mission,an important task or purpose someone is sent to do,The astronauts trained for months before their mission to the space station.,
occasion,a special event or particular time,Grandma only uses the fancy dishes for a special occasion like a holiday.,
physician,a doctor who treats illness; sounds like 'fih-ZISH-un',The physician examined my little brother's ear and prescribed some medicine.,
tension,a feeling of nervous strain or worry,You could feel the tension in the room before the spelling bee began.,
conclusion,the final part or ending of something,In the conclusion of the story the lost dog finally finds its way home.,
constitution,the basic set of laws that governs a country,Students studied the Constitution to learn how the government is organized.,
caution,great care taken to avoid danger or mistakes,Use caution when crossing the busy street near the school.,
constellation,a group of stars that forms a pattern in the sky,We looked through the telescope to find the constellation Orion in the sky.,
addition,the process of adding numbers or things together,Our teacher reviewed addition and subtraction before we moved on to fractions.,
fiction,stories about imaginary people or events,My favorite section of the library is filled with fantasy fiction books.,
position,the place where a person or thing is located,The coach explained each player's position before the big soccer game.,
official,authorized by someone in charge; approved,The mayor made an official announcement about the new community center.,
glacier,a huge slow-moving mass of ice,The hikers were amazed by the size of the glacier in the mountains.,
