word,hint,sentence,bonus
I'll,contraction of I will,I'll help you carry those boxes to the car.,
they've,contraction of they have,They've already finished packing for the camping trip.,
don't,contraction of do not,Please don't forget your lunch on the counter.,
we're,contraction of we are,We're planning to visit the aquarium this weekend.,
didn't,contraction of did not,She didn't hear the alarm go off this morning.,
isn't,contraction of is not,This isn't the right bus to get to the library.,
couldn't,contraction of could not,He couldn't find his shoes anywhere in the house.,
haven't,contraction of have not,We haven't started our homework yet tonight.,
o'clock,used to state the hour of the day,The movie starts at seven o'clock tonight.,
you're,contraction of you are,You're going to love the surprise party we planned.,
who's,contraction meaning who is or who has; not the same as whose,Who's bringing the snacks for the game tonight?,
whose,shows who something belongs to; not the same as who's,Whose backpack is this sitting by the front door?,
aren't,contraction of are not,Aren't you excited about the field trip tomorrow?,
it's,contraction of it is or it has,It's going to rain later this afternoon.,
doesn't,contraction of does not,He doesn't like broccoli but he eats it anyway.,
there's,contraction of there is or there has,There's a new student joining our class today.,
won't,contraction of will not,She won't be able to come to the party on Friday.,
I've,contraction of I have,I've never been to the beach during the winter.,
